,text,intent
0,"add Stani, stani Ibar vodo songs in my playlist música libre",AddToPlaylist
1,add this album to my Blues playlist,AddToPlaylist
2,Add the tune to the Rage Radio playlist.,AddToPlaylist
3,Add WC Handy to my Sax and the City playlist,AddToPlaylist
4,Add BSlade to women of k-pop playlist,AddToPlaylist
5,add the current tune to my Rock Gaming playlist,AddToPlaylist
6,add villotta to The MetalSucks Playlist playlist,AddToPlaylist
7,Add Bronislau Kaper to the drive playlist.,AddToPlaylist
8,add the artist joseph meyer to my mad cool festival 2017 playlist,AddToPlaylist
9,Add the avispa track to my Bass Gaming playlist.,AddToPlaylist
10,add bob klose to la mejor música para tus fiestas,AddToPlaylist
11,Add como un tatuaje to my hits of the 70s playlist,AddToPlaylist
12,Add this tune to the sylvia plath playlist,AddToPlaylist
13,add an album in Guitar Hero Live Playlist,AddToPlaylist
14,add Chris de Burgh in my playlist melancholia,AddToPlaylist
15,Add John Tesh to my salsa classics playlist,AddToPlaylist
16,add the current tune to my Six string peacefulness playlist,AddToPlaylist
17,Add the track to my workout playlist.,AddToPlaylist
18,Add the album to my Heavy Gamer playlist.,AddToPlaylist
19,add an album in my playlist In The Name Of Blues,AddToPlaylist
20,add bang a drum to my cleaning playlist,AddToPlaylist
21,Add the track to the bandas sonoras playlist.,AddToPlaylist
22,Add the track to my romantic evening playlist.,AddToPlaylist
23,Add decade in the sun best of stereophonics to laundry.,AddToPlaylist
24,I'd like to put qriii onto songs to sing in the car.,AddToPlaylist
25,"add Dunja, du to my ejercicio playlist",AddToPlaylist
26,"I want to send music to ann's lists from SIR John Winston Ono Lennon, put it on her Infinite Indie Folk list",AddToPlaylist
27,Please put maimi yajima's song onto Operación Bikini.,AddToPlaylist
28,"add artist in my
 Top 100 Rock Tracks on Spotify",AddToPlaylist
29,Add the artist Jurij Szewczuk to tisha's soul revived playlist.,AddToPlaylist
30,Add Fair Charlotte to the We Everywhere playlist.,AddToPlaylist
31,add Masahiro Nakai track in playlist Modern Psychedelia,AddToPlaylist
32,Add the song to the soundscapes for gaming playlist.,AddToPlaylist
33,A Shawnna to the Warm Hearts Feel Good playlist.,AddToPlaylist
34,Add Come on Feel the Lemonheads to my salsa classics playlist.,AddToPlaylist
35,Add track by Fleetwood Mac to lakeisha's playlist TODO NOVEDADES,AddToPlaylist
36,Add the artist to my Duetos.,AddToPlaylist
37,add Elvis Presley and America in my playlist Electro Workout,AddToPlaylist
38,Add Rattus at the Roundhouse to my funk playlist.,AddToPlaylist
39,add this artist to my Noche de chicas playlist,AddToPlaylist
40,add pump-pump to my this is zezé di camargo & luciano playlist,AddToPlaylist
41,Add a tune to my playlist girls' night,AddToPlaylist
42,I want to add Ottagathai Kattiko to the women of classical playlist.,AddToPlaylist
43,Add the artist to my Metal playlist.,AddToPlaylist
44,Add the current artist to my extreme metal workout playlist,AddToPlaylist
45,Add dear hearts and gentle people to he Tokyo Rising playlist.,AddToPlaylist
46,add the man who never lied to my current comedy top tracks,AddToPlaylist
47,add Michael Penn songs in my playlist Calm before the storm,AddToPlaylist
48,Please add james house to bleeps & bloops,AddToPlaylist
49,Please put this song onto my Urban Hits playlist.,AddToPlaylist
50,Add the artist to my classical feast playlist.,AddToPlaylist
51,Please add this artist to TODO NOVEDADES,AddToPlaylist
52,Add doctor lawyer indian chief to my playlist Synth Pop,AddToPlaylist
53,Can you put Musiri Subramania Iyer's song onto the lo-fi love soundtrack?,AddToPlaylist
